Physical,Horizon,BOOK,2018,6,5,The fright at zombie farm / written by Laurie S. Sutton ; illustrated by Scott Neely.,"Sutton, Laurie","Scooby Doo Fictitious character Juvenile fiction, Great Dane Juvenile fiction, Zombies Juvenile fiction, Farms Juvenile fiction, Plot your own stories, Dogs Fiction, Mystery and detective stories, Choose your own stories","Stone Arch Books, a Capstone imprint,",[2015]
Physical,Horizon,BOOK,2018,6,1,"The price of free world victory / by Henry A. Wallace ... with some comments by Raymond Clapper, Major G.F. Eliot, Dr. Francis E. McMahon [and others]","Wallace, Henry A. (Henry Agard), 1888-1965","World War 1939 1945, Liberty","L.B. Fischer,",[1942]
Digital,OverDrive,EBOOK,2018,6,3,The Education of a Coroner: Lessons in Investigating Death,John Bateson,"Biography & Autobiography, Medical, Nonfiction","Simon & Schuster, Inc.",2017
Digital,OverDrive,EBOOK,2018,6,1,In an Antique Land: History in the Guise of a Traveler's Tale,Amitav Ghosh,"Biography & Autobiography, History, Nonfiction, Travel","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2018,6,1,"VALIS: VALIS Trilogy, Book 1 (unabridged) (Unabridged)",Philip K. Dick,"Fiction, Science Fiction","Blackstone Audio, Inc.",2009
Digital,OverDrive,AUDIOBOOK,2018,6,7,Most Wanted (Unabridged),Lisa Scottoline,"Fiction, Suspense, Thriller",Macmillan Audio,2016
Physical,Horizon,BOOK,2018,6,2,Family guide. Italy.,,"Children Travel Italy Guidebooks, Italy Guidebooks","Dorling Kindersley Limited,",2016.
Physical,Horizon,BOOK,2018,6,1,Lost in the mirror : an inside look at borderline personality disorder / Richard A. Moskovitz.,"Moskovitz, Richard A.",Borderline personality disorder Popular works,"Taylor Trade Pub.,",©2001.
Physical,Horizon,BOOK,2018,6,1,"How to feed your whole family a healthy, balanced diet : simple, wholesome, and nutritious recipes for family meals / Gill Holcombe.","Holcombe, Gill","Cooking English, Low budget cooking","St. Martin's Griffin,",2010.
Physical,Horizon,BOOK,2018,6,1,Women in mathematics / Lynn M. Osen.,"Osen, Lynn M.",Women mathematicians Biography,"MIT Press,",[1974]
Digital,OverDrive,EBOOK,2018,6,3,"The Conspiring Woman: Victorian Bookshop Mysteries, #4",Kate Parker,"Fiction, Historical Fiction, Mystery","Draft2Digital, LLC",2018
Physical,Horizon,BOOK,2018,6,1,Turning 15 on the road to freedom : my story of the 1965 Selma Voting Rights March / by Lynda Blackmon Lowery ; as told to Elspeth Leacock and Susan Buckley ; illustrated by PJ Loughran.,"Lowery, Lynda Blackmon, 1950-","Lowery Lynda Blackmon 1950, Selma to Montgomery Rights March 1965 Selma Ala Juvenile literature, African Americans Civil rights Alabama Selma History 20th century Juvenile literature, African Americans Suffrage Alabama Selma History 20th century Juvenile literature, Civil rights movements Alabama Selma History 20th century Juvenile literature, Selma Ala Race relations Juvenile literature, Biographies","Speak, an imprint of Penguin Random House LLC,",2016.
Digital,OverDrive,EBOOK,2018,6,1,"This Old Homicide: A Fixer-Upper Mystery Series, Book 2",Kate Carlisle,"Fiction, Mystery","Penguin Group (USA), Inc.",2015
Physical,Horizon,VIDEODISC,2018,6,2,"Beck. 3, episodes 7-9 / produced by Victoria Film, Per Holst Film A/S in collaboration with Filmlance International, Frankfurter Filmproduktion, TV4/Sweden, TV2/Denmark, TV2/Norway, Canal+ and with support from Nordic Film & Television Fund & Eurimages, Media II ; in collaboration with DR, MTV Oy ; story & screenplay, Rolf Börjlind, Cilla Börjlind ; producers, Lars Blomgren, Thomas Lydholm, Börje Hansson.",,"Beck Martin Fictitious character Drama, Criminal investigation Sweden Stockholm Drama, Detective and mystery television programs, Television cop shows, Fiction television programs, Television series","MHZ Networks Home Entertainment,",2012.
Digital,OverDrive,EBOOK,2018,6,1,War Dances,Sherman Alexie,"Fiction, Short Stories",Open Road Integrated Media,2013
Physical,Horizon,BOOK,2018,6,1,Molecular gastronomy at home : taking culinary physics out of the lab and into your kitchen / Jozef Youssef.,"Youssef, Jozef","Molecular gastronomy, Cookbooks","Firefly Books,",2013.
Physical,Horizon,BOOK,2018,6,3,"What's up, Chuck? / Leo Landry.","Landry, Leo","Woodchuck Juvenile fiction, Opossums Juvenile fiction, Forest animals Juvenile fiction, Artists Juvenile fiction, Competition Psychology Juvenile fiction","Charlesbridge,",2016.
Physical,Horizon,BOOK,2018,6,2,"Ouran High School Host Club. Vol. 18 / Bisco Hatori ; [translation, Su Mon Han ; touch-up art & lettering, Gia Cam Luc].","Hatori, Bisco","Rich people Comic books strips etc, Private schools Comic books strips etc, Teenage boys Societies and clubs Comic books strips etc Juvenile literature, Graphic novels","Viz Media,",[2012]
Physical,Horizon,VIDEODISC,2018,6,2,"Goon / Magnet Releasing, Myriad Pictures and Alliance Films ; produced by Don Carmody, David Gross, André Rouleau, Jay Baruchel, Ian Dimerman ; written by Jay Baruchel & Evan Goldberg ; directed by Michael Dowse.",,"Hockey players Drama, Feature films, Video recordings for the hearing impaired, Comedy films, Fiction films","Magnolia Home Entertainment,",2012.
Digital,OverDrive,EBOOK,2018,6,8,The Heart: A Novel,Maylis de Kerangal,"Fiction, Literature",Macmillan Publishers,2016
Physical,Horizon,SOUNDDISC,2018,6,1,The shallows : [what the Internet is doing to our brains] / by Nicolas Carr ; read by Paul Michael Garcia.,"Carr, Nicholas G., 1959-","Neuropsychology, Intellect, Internet Physiological effect, Internet Psychological aspects, Electronic information resource searching","Blackstone Audio,",[2010]
Physical,Horizon,SOUNDDISC,2018,6,2,Pohjola's daughter ; The oceanides ; Symphony no. 2 / Sibelius.,"Sibelius, Jean, 1865-1957","Symphonic poems, Symphonies","Hallé,",p2013.
Physical,Horizon,BOOK,2018,6,5,The candy conspiracy : a tale of sweet victory / written by Carrie Snyder ; illustrated by Claudia Dávila.,"Snyder, Carrie",Candy Juvenile fiction,"Owlkids Books Inc.,",2015.
Physical,Horizon,BOOK,2018,6,1,Tart of darkness / Denise Swanson.,"Swanson, Denise","Women cooks Fiction, Caterers and catering Fiction, Murder Investigation Fiction, City and town life Fiction, Detective and mystery fiction","Sourcebooks Landmark,",[2018]
Digital,OverDrive,EBOOK,2018,6,1,The South: A Novel,Colm Toibin,"Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2018,6,3,Wealth and Wisdom (Unabridged),Benjamin Franklin,"Biography & Autobiography, Business, Nonfiction, Self-Improvement",Gildan Media Corp,2008
Digital,OverDrive,EBOOK,2018,6,1,Far From the Madding Crowd,Thomas Hardy,"Classic Literature, Fiction","Penguin Group (USA), Inc.",2013
Digital,OverDrive,EBOOK,2018,6,1,Hard Choices,Hillary Rodham Clinton,"Biography & Autobiography, History, Nonfiction, Sociology","Simon & Schuster, Inc.",2014
Physical,Horizon,BOOK,2018,6,1,Skating is hard when you're homesick / by Julie A. Gassman ; illustrated by Jorge Santillan.,"Gassman, Julie","Ice skating Fiction, School field trips Juvenile fiction, Friendship Fiction, Homesickness Juvenile fiction","Stone Arch Books,",2012.
Digital,OverDrive,AUDIOBOOK,2018,6,2,Arch of Triumph (Unabridged),Erich Maria Remarque,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2018
